title,details,address,tags,price
希望未来城(二期) 1室1厅1卫,1室1厅|30平米|中层(共22层),希望未来城(二期)  |金堂-三星学府大道655号,经政府平台权属核验|整租|朝东|有电梯,800 元/月
南林路179号院 1室0厅1卫,1室0厅|15平米|共3层,南林路179号院  |温江-温江城区南林路179号,未核验|整租|朝南|4/17号线,350 元/月
龙城1号 1室0厅1卫,1室0厅|20平米|中层(共32层),龙城1号  |龙泉驿-大面龙城大道1号,经政府平台权属核验|整租|朝南|2号线,800 元/月
常乐小区(南区) 1室0厅1卫,1室0厅|15平米|共5层,常乐小区(南区)  |双流-航空港学府西路南四街,未核验|整租|朝南,550 元/月
川音小区 1室0厅1卫,1室0厅|30平米|中层(共7层),"川音小区  |新都-新都新城区学院路东段516号,学院路东段680号",未核验|整租|朝南,650 元/月
九千朝阳 2室2厅1卫,2室2厅|84平米|共4层,九千朝阳  |青白江-青白江城区夏家巷121号,经政府平台权属核验|整租|朝南,700 元/月
常乐小区(南区) 1室0厅1卫,1室0厅|20平米|共5层,常乐小区(南区)  |双流-航空港学府西路南四街,未核验|整租|朝东,500 元/月
锦绣华都东区 1室1厅1卫,1室1厅|60平米|高层(共7层),锦绣华都东区  |双流-东升镇三强北路二段88号,经政府平台权属核验|整租|东南|3号线,800 元/月
和裕欧景 1室1厅1卫,1室1厅|40平米|高层(共22层),和裕欧景  |金堂-三星文达路221号,经政府平台权属核验|整租|朝南,800 元/月
石灵新园2区 1室0厅1卫,1室0厅|27平米|共4层,石灵新园2区  |龙泉驿-十陵友谊路103号,经政府平台权属核验|整租|朝南|4号线,660 元/月
自由假日 1室1厅1卫,1室1厅|40平米|低层(共12层),自由假日  |龙泉驿-阳光城同安路101号,经政府平台权属核验|整租|朝南,700 元/月
南岳村九社自建小区 1室0厅1卫,1室0厅|15平米|共2层,南岳村九社自建小区  |温江-万春镇南岳村九社,未核验|整租|朝南|17号线,400 元/月
川化五村1区 2室1厅1卫,2室1厅|68平米|中层(共6层),川化五村1区  |青白江-凤凰新城青江东路32号,经政府平台权属核验|整租|南北,750 元/月
安居东苑 3室1厅1卫,3室1厅|106平米|高层(共7层),安居东苑  |青白江-文体中心安居路39号,经政府平台权属核验|整租|朝南,800 元/月
学府星天 2室2厅1卫,2室2厅|89平米|低层(共28层),学府星天  |金堂-三星文达路292号,经政府平台权属核验|整租|朝西|有电梯,800 元/月
大邑清江花园 3室2厅1卫,3室2厅|125.8平米|高层(共6层),大邑清江花园  |大邑-大邑城区西门巷14号,经政府平台权属核验|整租|朝北,780 元/月
银桂园 2室2厅1卫,2室2厅|91.8平米|中层(共8层),银桂园  |都江堰-都江堰城区问道西路9号,经政府平台权属核验|整租|朝西,600 元/月
中地小区 2室1厅1卫,2室1厅|93平米|中层(共6层),中地小区  |彭州-彭州城区外南街15号,经政府平台权属核验|整租|朝东,800 元/月
川化三村 1室1厅1卫,1室1厅|44.3平米|共5层,川化三村  |青白江-青白江城区白塔巷11号,经政府平台权属核验|整租|朝南,590 元/月
石灵新园2区 1室0厅1卫,1室0厅|27平米|共3层,石灵新园2区  |龙泉驿-十陵友谊路103号,经政府平台权属核验|整租|朝南|4号线,600 元/月
大同路1号院 2室1厅1卫,2室1厅|85平米|高层(共6层),大同路1号院  |青白江-凤凰新城大同路1号,经政府平台权属核验|整租|朝南,700 元/月
学府雅筑 1室厅1卫,1室0厅|38.5平米|中层(共24层),学府雅筑  |新都-石油大学同心路98号,经政府平台权属核验|整租|南北|有电梯|3号线,750 元/月
安居西苑 2室1厅1卫,2室1厅|70.2平米|高层(共7层),安居西苑  |青白江-文体中心安居路88号,经政府平台权属核验|整租|朝南,700 元/月
木胶厂宿舍 2室1厅1卫,2室1厅|62.6平米|高层(共6层),木胶厂宿舍  |邛崃市-邛崃城区金宝街114号附1号,经政府平台权属核验|整租|朝东,800 元/月
幸福小区(龙泉驿) 1室1厅1卫,1室1厅|40平米|共4层,幸福小区(龙泉驿)  |龙泉驿-阳光城希望路287号,未核验|整租|朝西,550 元/月
三和集中居住区275号小区 1室0厅1卫,1室0厅|13平米|共3层,三和集中居住区275号小区  |崇州-崇州城区三和集中居住区275号,未核验|整租|朝南,550 元/月
展瑞君悦华庭 1室1厅1卫,1室1厅|30平米|共5层,展瑞君悦华庭  |大邑-大邑城区大邑大道266号,经政府平台权属核验|整租|朝南,635 元/月
南苑小区(大邑县) 1室0厅1卫,1室0厅|99平米|共4层,南苑小区(大邑县)  |大邑-大邑城区南街西二巷,经政府平台权属核验|整租|朝南,600 元/月
四海街自建房 1室0厅1卫,1室0厅|18平米|共3层,四海街自建房  |温江-金马镇四海街,未核验|整租|东南,450 元/月
